userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
81303: (480,2.8849425315856934) (260,2.8293919563293457) (1196,2.8073318004608154) (2571,2.7987277507781982) (589,2.768075704574585) (1580,2.7548933029174805) (2858,2.7251315116882324) (2916,2.723999500274658) (1270,2.645941734313965) (2762,2.597365379333496) (1197,2.546630620956421) (2716,2.54166841506958) (1240,2.5367379188537598) (3578,2.510267972946167) (1097,2.4874320030212402) (1127,2.4589591026306152) (593,2.453030586242676) (1214,2.4510841369628906) (457,2.4202146530151367) (1200,2.4144790172576904)
83691: (480,2.7772998809814453)* (2028,2.646045207977295)* (2628,2.573983669281006)* (1265,2.571956157684326)* (1240,2.537631034851074)* (2716,2.5194895267486572)* (541,2.4486935138702393)* (1259,2.4353530406951904)* (2174,2.3056750297546387)* (590,2.288546323776245)* (1968,2.2771384716033936)* (1136,2.2455248832702637)* (2355,2.24355411529541) (3175,2.1818058490753174) (1213,2.163577079772949)* (1923,2.116722583770752) (32,2.1040380001068115)* (2683,1.963799238204956) (357,1.9454773664474487) (2640,1.9173426628112793)*
80623: (2858,2.8583903312683105) (1196,2.8143739700317383) (260,2.790663957595825) (608,2.737083911895752) (1210,2.7019505500793457) (593,2.6373238563537598) (1270,2.5883917808532715) (1198,2.586264133453369) (2762,2.562593936920166) (1197,2.557675361633301) (1617,2.5530333518981934) (296,2.5501368045806885) (589,2.543090343475342) (480,2.5397472381591797) (2571,2.523200035095215) (527,2.515709400177002) (318,2.51029896736145) (858,2.508735418319702)* (1097,2.5048630237579346) (2028,2.4915709495544434)
79986: (2858,2.8418262004852295) (2571,2.755857229232788)* (110,2.6160688400268555)* (2916,2.6099395751953125)* (593,2.587132215499878)* (608,2.570812463760376) (1265,2.4846949577331543) (296,2.482454776763916) (1,2.4791035652160645) (2396,2.462855339050293) (527,2.39752197265625) (858,2.391247272491455) (1127,2.387125253677368) (1617,2.3861312866210938) (318,2.3861193656921387) (2987,2.375319004058838)* (2997,2.3536970615386963) (780,2.338491916656494) (1259,2.319528818130493) (541,2.306422233581543)
81522: (589,2.7322981357574463)* (1270,2.661296844482422)* (2628,2.6538326740264893)* (2762,2.616244316101074)* (2028,2.5925798416137695) (1097,2.5223283767700195) (1,2.457300901412964) (3578,2.4551010131835938) (1214,2.447303295135498) (457,2.4043679237365723) (1200,2.3891711235046387) (1127,2.3866753578186035) (2987,2.3516628742218018) (527,2.350574016571045) (858,2.3390800952911377) (377,2.3249831199645996) (2997,2.309816360473633) (1291,2.3028273582458496)* (1610,2.288316249847412) (1259,2.2758946418762207)
85225: (2858,2.6668481826782227) (260,2.5873513221740723) (1210,2.4947378635406494) (1617,2.412403106689453)* (1198,2.409910202026367) (296,2.3934826850891113)* (2762,2.379021644592285)* (858,2.3665950298309326) (318,2.363724708557129)* (527,2.362715244293213) (480,2.325622320175171) (541,2.2796249389648438)* (356,2.2644565105438232)* (50,2.2470855712890625)* (1394,2.2321937084198)* (1193,2.212801218032837) (1,2.194415330886841) (1580,2.193620204925537) (924,2.178654193878174) (1221,2.159365653991699)
82107: (2858,2.667497396469116)* (1196,2.59631609916687) (260,2.565706729888916)* (593,2.472473621368408)* (1210,2.458775043487549) (1198,2.399519920349121) (296,2.3954577445983887) (527,2.3787155151367188) (318,2.377946376800537) (1270,2.370696783065796) (1197,2.3559765815734863) (2762,2.350048065185547) (1097,2.3096954822540283) (541,2.2891054153442383) (589,2.288908004760742) (2028,2.2720189094543457)* (1394,2.2631020545959473) (2571,2.2604312896728516) (480,2.2595033645629883) (1193,2.2553417682647705)
79585: (2858,1.8251562118530273) (1230,1.802854299545288) (1617,1.7788407802581787) (1252,1.7548108100891113) (1193,1.7534396648406982) (912,1.7520807981491089) (1225,1.7242627143859863) (1294,1.7088948488235474) (858,1.7088134288787842)* (1304,1.705403208732605) (318,1.70461106300354) (1394,1.6969300508499146) (527,1.6959242820739746) (260,1.672135353088379) (111,1.6657733917236328) (908,1.663712501525879) (750,1.6628477573394775) (913,1.6622843742370605) (2396,1.6583068370819092) (923,1.6579537391662598)*
81259: (2858,2.7495040893554688)* (260,2.6212782859802246)* (318,2.477477788925171)* (527,2.4730935096740723)* (2762,2.396597385406494)* (1265,2.379427909851074) (1097,2.3641576766967773)* (1259,2.318443775177002)* (2028,2.310837745666504)* (1307,2.293506622314453) (356,2.2729458808898926)* (1294,2.203458309173584) (1,2.1986725330352783)* (1214,2.1667635440826416)* (1240,2.161994695663452)* (1079,2.1373283863067627)* (1580,2.1182897090911865) (1219,2.1135871410369873)* (1968,2.0942509174346924)* (1208,2.077397108078003)*
85069: (2858,1.8932901620864868)* (1617,1.80568528175354) (260,1.767845630645752)* (912,1.7215595245361328) (2396,1.7094788551330566) (1225,1.7029688358306885)* (1252,1.693367600440979)* (1094,1.6931126117706299) (1304,1.6916613578796387) (541,1.676337480545044) (1210,1.6540623903274536) (1307,1.6403419971466064) (50,1.6322362422943115) (1197,1.6291686296463013) (1270,1.6184290647506714) (1259,1.6094639301300049) (919,1.5905532836914062)* (1213,1.5800728797912598)* (969,1.5711395740509033) (903,1.534180760383606)*
82296: (260,2.4965105056762695) (480,2.4955203533172607) (1210,2.4921021461486816) (1196,2.4832582473754883) (2858,2.432265281677246) (2571,2.429511308670044) (589,2.4137516021728516) (1580,2.3799753189086914) (2628,2.36905574798584) (2916,2.335906505584717) (110,2.2865781784057617) (2028,2.2778074741363525) (1197,2.2576029300689697) (1198,2.237729549407959) (1240,2.2179646492004395) (1097,2.2049765586853027) (593,2.204235553741455) (1,2.1586549282073975) (608,2.157888174057007) (1214,2.153470993041992)
84000: (1617,2.443155527114868)* (1210,2.360992670059204) (1197,2.2927074432373047) (1265,2.26961612701416)* (1097,2.2480242252349854) (34,2.2386960983276367) (912,2.227104663848877)* (1225,2.221306800842285)* (1259,2.2150626182556152) (1221,2.213186264038086)* (2028,2.192096710205078)* (589,2.1794042587280273) (2571,2.1405341625213623) (1294,2.129472255706787) (480,2.126330852508545) (111,2.1032490730285645)* (590,2.095719814300537) (1,2.086129903793335)* (908,2.085829019546509)* (1214,2.051891803741455)
85029: (2628,2.848893404006958)* (2571,2.817925453186035)* (1210,2.8165435791015625)* (2916,2.813290596008301)* (780,2.5824379920959473)* (1197,2.4789319038391113)* (1,2.4210987091064453) (648,2.417710304260254)* (1097,2.4160923957824707) (1610,2.390162944793701)* (2355,2.370504379272461) (1291,2.3182168006896973)* (316,2.306852340698242)* (2710,2.2804837226867676) (1676,2.2801249027252197)* (1374,2.2760417461395264) (1917,2.237365245819092)* (1036,2.2359163761138916)* (1377,2.223504066467285) (296,2.2089054584503174)*
84718: (527,3.132490634918213)* (1097,3.066164255142212) (480,3.033620834350586) (50,2.9666318893432617)* (1394,2.966451644897461) (1259,2.9529483318328857) (34,2.932957887649536)* (924,2.883653163909912)* (1580,2.8571395874023438) (1214,2.844264268875122)* (919,2.8393354415893555) (1136,2.823172092437744) (1304,2.812342643737793)* (2716,2.8074867725372314)* (590,2.7823593616485596) (912,2.781437397003174) (2987,2.7601609230041504) (2791,2.749819755554199)* (2599,2.733827829360962) (2628,2.7326207160949707)
80046: (2628,2.1021292209625244)* (589,2.0086960792541504)* (780,1.921749472618103)* (2699,1.8683249950408936) (1127,1.8393313884735107) (377,1.802692174911499)* (648,1.7788240909576416)* (1197,1.7573425769805908) (1610,1.7463464736938477) (1214,1.7423027753829956)* (2355,1.7326796054840088)* (2710,1.723879098892212) (1097,1.708830714225769)* (1198,1.7077597379684448) (1377,1.695550560951233) (1291,1.671069622039795) (2683,1.6708095073699951)* (1374,1.6698867082595825) (2706,1.6659512519836426) (2617,1.6563694477081299)
82977: (260,3.6510982513427734) (1270,3.410811424255371) (2762,3.350193977355957) (2716,3.2856240272521973) (1197,3.281059503555298) (1198,3.236105442047119) (356,3.2265524864196777)* (1127,3.1881284713745117) (1214,3.1640665531158447) (1,3.160344362258911) (593,3.14858341217041)* (1200,3.1214563846588135) (1265,3.0695643424987793) (1610,3.040325164794922) (608,3.030089855194092) (2987,3.0182459354400635) (2355,3.0116825103759766) (2396,2.982767105102539)* (733,2.9729208946228027) (2000,2.9703683853149414)
80187: (1196,2.971947193145752)* (260,2.9507369995117188)* (2762,2.7078938484191895)* (480,2.6985111236572266) (589,2.6973700523376465) (2571,2.678842544555664) (2396,2.663084030151367)* (1097,2.64581036567688)* (527,2.641915798187256) (858,2.638969659805298) (2028,2.637423515319824) (318,2.636909008026123)* (1265,2.6211910247802734) (110,2.6119210720062256) (2997,2.575056552886963) (1580,2.550581216812134) (541,2.542989730834961) (1259,2.5068182945251465) (1240,2.506610870361328)* (1,2.5060362815856934)*
84634: (480,2.8836145401000977) (260,2.862255096435547) (2571,2.8015494346618652) (589,2.7795467376708984) (2858,2.7781825065612793) (1580,2.751720428466797) (2916,2.7065134048461914) (1270,2.6781115531921387)* (2762,2.630908966064453) (110,2.628549814224243) (2028,2.616896152496338) (2716,2.556351661682129)* (1240,2.55111026763916)* (356,2.532869338989258)* (1097,2.523576021194458)* (3578,2.516692638397217) (593,2.5132393836975098) (1,2.4782400131225586) (1214,2.474132537841797) (780,2.4471776485443115)
81201: (480,2.942002296447754) (1210,2.9176740646362305) (2571,2.8581156730651855)* (589,2.835242748260498) (2858,2.824671506881714)* (1580,2.8095271587371826) (2628,2.805680274963379) (2916,2.766209602355957) (1270,2.726889133453369) (110,2.6793723106384277) (2762,2.678408145904541) (1197,2.63173770904541) (1240,2.601468563079834) (356,2.5811891555786133) (1097,2.570344924926758) (1,2.5248665809631348) (457,2.4870519638061523) (608,2.481790065765381)* (1265,2.4774882793426514) (1200,2.476729393005371)
80096: (2858,2.846881628036499) (1210,2.7772414684295654)* (608,2.6490845680236816)* (589,2.644075632095337) (2571,2.6388282775878906) (1270,2.637251853942871)* (593,2.608217239379883)* (1197,2.58335542678833) (110,2.540071964263916)* (2396,2.4911036491394043) (1265,2.482466220855713) (2628,2.4801559448242188) (2916,2.439754009246826)* (2716,2.4279932975769043)* (1214,2.4076151847839355)* (2997,2.3963871002197266) (541,2.3601932525634766) (457,2.337505340576172) (34,2.2645998001098633)* (1127,2.2560348510742188)
82887: (1270,3.2150895595550537)* (1197,3.094721794128418) (2716,3.090787649154663) (1240,3.082770824432373) (1097,3.02203369140625)* (1127,2.99062180519104) (593,2.980164051055908)* (1214,2.980137825012207) (1200,2.935309886932373) (1265,2.8994736671447754)* (2987,2.848771572113037) (2396,2.8224902153015137) (1291,2.8194823265075684)* (2000,2.7941174507141113) (2699,2.782113790512085) (733,2.778602123260498)* (3175,2.7576165199279785) (1036,2.731158494949341) (380,2.7281599044799805)* (1527,2.71807861328125)
83509: (2858,3.3346447944641113) (1196,3.317845106124878)* (260,3.304325580596924) (1210,3.235548734664917) (480,3.110722541809082) (1270,3.078035354614258) (589,3.077040433883667) (2571,3.068781852722168) (1198,3.031402587890625)* (1197,3.021322250366211) (2028,2.978726387023926) (110,2.9598207473754883)* (1097,2.9532952308654785) (296,2.9498603343963623)* (1580,2.9496350288391113) (1265,2.9104063510894775) (1617,2.903453826904297) (527,2.8821866512298584) (2628,2.8768529891967773) (318,2.875958204269409)*
83772: (1270,3.0865228176116943)* (608,3.0806851387023926)* (593,3.0447378158569336)* (1580,2.988192558288574)* (1097,2.9542860984802246)* (1240,2.8682875633239746)* (2716,2.852120876312256)* (457,2.7443275451660156)* (34,2.638449192047119)* (1387,2.6132867336273193)* (2791,2.590869665145874)* (377,2.5826945304870605)* (1036,2.5728342533111572)* (1968,2.568680763244629)* (1136,2.520756244659424) (1221,2.5160036087036133) (3114,2.512136220932007)* (1721,2.509458303451538)* (3418,2.491091728210449)* (2918,2.4760422706604004)*
81101: (260,2.1106600761413574) (1196,2.106053590774536) (480,2.0793402194976807) (2858,2.076078414916992) (2571,2.031012773513794) (589,2.022165298461914)* (1580,1.9803180694580078) (1270,1.972309947013855) (2762,1.940143346786499) (2916,1.9329783916473389) (110,1.9224541187286377)* (2028,1.920944333076477) (1197,1.9144247770309448) (1198,1.9038112163543701) (593,1.8857172727584839) (1097,1.8710527420043945) (608,1.8675284385681152) (356,1.8642627000808716) (1240,1.8611423969268799) (2716,1.8575639724731445)
82642: (480,3.0769710540771484) (260,3.0137858390808105) (1196,2.988889217376709) (2571,2.982285737991333) (589,2.951080322265625) (2628,2.9489903450012207) (1580,2.939786911010742) (2916,2.9077231884002686) (1270,2.8210160732269287) (110,2.7814512252807617)* (1197,2.715005397796631) (2716,2.7122974395751953)* (1240,2.704955577850342) (1198,2.67775821685791) (1097,2.6487956047058105) (780,2.6331303119659424) (1127,2.62428617477417) (1214,2.6136646270751953) (1,2.61360239982605) (593,2.6134166717529297)
80812: (608,2.843618392944336) (1198,2.65516996383667)* (1197,2.615969181060791) (2762,2.6159181594848633)* (858,2.6062569618225098)* (527,2.603006362915039)* (318,2.6021976470947266)* (589,2.5744705200195312) (480,2.558310031890869) (2571,2.548689842224121) (2997,2.5349197387695312) (110,2.506690502166748) (356,2.489088535308838) (50,2.4692978858947754) (1259,2.4596078395843506)* (1193,2.4378957748413086) (34,2.437077045440674)* (1,2.413921594619751) (1240,2.398980140686035)* (1214,2.3861632347106934)*
84517: (2858,2.3496286869049072)* (1196,2.286806106567383) (593,2.1805644035339355) (1210,2.1689000129699707) (1198,2.116036891937256)* (296,2.113532543182373)* (527,2.096652030944824) (318,2.096406936645508) (858,2.0961966514587402) (1197,2.0788073539733887)* (2762,2.074347734451294)* (1265,2.0393848419189453) (2997,2.0386857986450195) (1097,2.0382823944091797) (589,2.022199869155884) (2028,2.005676746368408) (480,1.997037649154663) (1394,1.9947401285171509) (1193,1.9876353740692139) (110,1.9769052267074585)
80773: (1210,3.662074565887451)* (480,3.5951924324035645)* (2571,3.523122787475586) (589,3.5144996643066406)* (1270,3.4532318115234375)* (2762,3.401790142059326) (1197,3.3632290363311768)* (1097,3.2880115509033203)* (356,3.2613120079040527)* (1240,3.239818811416626)* (2716,3.2259957790374756) (1,3.1812896728515625)* (1214,3.166823387145996)* (858,3.096738576889038) (457,3.0948708057403564)* (1200,3.0738701820373535)* (2997,3.049201011657715) (1291,2.9649507999420166)* (780,2.9596877098083496)* (1610,2.922008991241455)*
81503: (1210,3.134542226791382)* (260,3.1239423751831055)* (2571,3.078512668609619)* (2628,3.0348124504089355) (2858,3.013594388961792) (2916,2.992414951324463) (1270,2.9226980209350586) (110,2.8780956268310547)* (2762,2.8675711154937744) (2028,2.860595703125) (2716,2.805617332458496) (1240,2.7975478172302246)* (1198,2.7793450355529785)* (3578,2.7667577266693115) (356,2.7641701698303223) (1214,2.707362651824951) (1127,2.705350875854492) (457,2.6710214614868164) (377,2.6354384422302246)* (608,2.6281685829162598)
82576: (260,1.8708338737487793)* (593,1.8455450534820557) (296,1.792980432510376) (1210,1.7694066762924194) (1198,1.769014596939087) (1394,1.7387621402740479) (541,1.7282782793045044) (1270,1.7204338312149048) (2762,1.7086706161499023)* (1265,1.7082188129425049) (1225,1.6985360383987427) (1304,1.6952182054519653) (34,1.6951649188995361) (1097,1.6909407377243042) (1221,1.6820276975631714) (1259,1.671059250831604) (924,1.654894232749939) (2028,1.6406863927841187)* (1294,1.6396653652191162) (1136,1.6389434337615967)
80424: (1617,2.6068782806396484)* (296,2.5306363105773926)* (1210,2.508908748626709) (2396,2.506798505783081)* (1394,2.4438629150390625)* (1270,2.4383740425109863) (1197,2.436648368835449)* (1097,2.392139434814453) (34,2.3857836723327637)* (1221,2.3641929626464844)* (1307,2.3505444526672363) (1230,2.3489675521850586)* (1094,2.3142833709716797)* (589,2.3108348846435547)* (356,2.2907001972198486) (750,2.276566743850708)* (480,2.2492380142211914) (590,2.2264022827148438) (2599,2.205151319503784) (1214,2.181331157684326)*
85007: (480,2.6019675731658936) (260,2.587843894958496) (2571,2.530153274536133) (2858,2.515045166015625) (589,2.5102570056915283) (1580,2.481203079223633) (2916,2.440859317779541) (110,2.3742520809173584) (2028,2.3623621463775635) (1197,2.3375697135925293) (1198,2.313152313232422) (2716,2.3046507835388184) (356,2.287391185760498) (593,2.271340847015381) (3578,2.266964912414551) (1,2.237518310546875) (1214,2.2348875999450684) (608,2.2174878120422363) (1265,2.2026329040527344) (457,2.200134754180908)
84870: (260,3.598087787628174)* (1210,3.5965733528137207)* (2858,3.4967963695526123) (1270,3.362597703933716)* (2762,3.3043525218963623) (110,3.2990708351135254)* (2028,3.2841734886169434) (1198,3.2174694538116455)* (2716,3.2032527923583984) (1097,3.1735682487487793)* (3578,3.148695230484009) (608,3.0872182846069336) (1127,3.0722007751464844) (1265,3.06185245513916)* (296,3.024862289428711) (527,2.9024481773376465) (2000,2.8950490951538086)* (1573,2.891178846359253)* (858,2.8871712684631348) (318,2.8797287940979004)
84999: (260,2.1228041648864746) (1196,2.1217942237854004) (2858,2.1136231422424316) (1210,2.099320411682129) (480,2.0588150024414062) (2571,2.0176117420196533) (589,2.0163869857788086) (1270,1.986122965812683) (1580,1.9603328704833984) (2762,1.959519386291504) (1197,1.9372060298919678) (593,1.9320189952850342)* (1198,1.9308977127075195) (2916,1.8992379903793335) (1097,1.8915021419525146) (356,1.8815271854400635) (1240,1.8574177026748657) (2716,1.8538358211517334) (1265,1.8510615825653076) (2396,1.8448933362960815)
79823: (2571,2.5973286628723145) (2858,2.4748282432556152) (110,2.408745288848877) (2028,2.3871212005615234) (2762,2.3809874057769775) (1240,2.3491950035095215)* (3578,2.341871976852417) (1127,2.296905755996704) (1,2.2586023807525635) (377,2.2414135932922363) (457,2.24070405960083) (593,2.2217907905578613) (1573,2.2136971950531006) (648,2.2014880180358887) (1610,2.1896252632141113) (733,2.179664134979248) (3175,2.1155147552490234) (296,2.1128759384155273) (608,2.112332820892334) (1036,2.0770583152770996)
84166: (480,2.2737600803375244) (2628,2.203941583633423) (1210,2.1954524517059326) (2571,2.188976764678955)* (1580,2.180004119873047) (2916,2.173022747039795) (260,2.1647324562072754) (589,2.158302068710327) (1196,2.134805202484131) (1270,2.033885955810547)* (2028,2.000155210494995) (3578,1.982506513595581)* (1197,1.9420026540756226)* (356,1.924626350402832) (1198,1.8999978303909302) (2699,1.8979368209838867) (1214,1.8941367864608765) (1,1.8908849954605103)* (1200,1.8799779415130615) (648,1.871258020401001)
79780: (1196,2.885730743408203) (260,2.8709805011749268) (1210,2.807809829711914) (608,2.72715163230896) (480,2.690548896789551) (1270,2.673790454864502) (593,2.66900634765625) (589,2.6654224395751953) (2571,2.656554698944092) (2762,2.6431422233581543) (1198,2.6399950981140137) (1197,2.6269710063934326) (2028,2.586855173110962) (296,2.572986602783203) (1097,2.5678396224975586) (110,2.5678110122680664) (2396,2.556407928466797) (1580,2.55003023147583) (1617,2.540106773376465) (1265,2.5336179733276367)
83184: (260,3.3734307289123535) (608,3.3080267906188965)* (1210,3.268012523651123) (1270,3.1292905807495117)* (2762,3.096945285797119) (1197,3.090839385986328) (1617,3.0811595916748047)* (296,3.0797502994537354) (589,3.0752453804016113)* (2571,3.0529117584228516) (1097,3.0266056060791016) (2028,3.0127365589141846) (110,2.981393575668335) (356,2.948122978210449)* (541,2.9196982383728027) (1580,2.9005815982818604) (50,2.881206512451172)* (1,2.864182233810425) (1394,2.8397741317749023)* (1214,2.8341903686523438)
81613: (2858,2.5586488246917725) (1196,2.4998884201049805) (608,2.482069969177246) (260,2.473112106323242) (1210,2.3821969032287598) (1617,2.3187460899353027)* (1198,2.3081302642822266) (296,2.295022487640381) (1270,2.292495012283325) (2396,2.2789220809936523) (1197,2.27475643157959) (589,2.2303080558776855) (1097,2.2275094985961914) (1265,2.2239151000976562) (480,2.2122182846069336) (2028,2.202866315841675) (541,2.186429977416992) (50,2.1549875736236572) (1394,2.1490414142608643) (1259,2.1432056427001953)
79365: (480,3.351123332977295) (260,3.315056800842285)* (2571,3.2534537315368652) (1580,3.1970162391662598)* (1270,3.0979628562927246) (2762,3.0420751571655273) (2716,2.9632248878479004) (1240,2.9591033458709717)* (356,2.928835391998291) (593,2.895211696624756) (1214,2.8666133880615234) (1127,2.852015972137451) (457,2.8228635787963867) (608,2.8111519813537598) (1265,2.8081440925598145) (2396,2.745351552963257) (1610,2.7255935668945312) (648,2.7168684005737305)* (1573,2.6951537132263184) (858,2.6343607902526855)
79690: (2858,2.769695281982422) (1580,2.7524890899658203)* (2628,2.749285936355591)* (2916,2.709691047668457)* (110,2.6264808177948) (2028,2.612643241882324) (2716,2.555704116821289) (356,2.5283455848693848) (3578,2.5142123699188232) (593,2.503239393234253) (1,2.4740726947784424)* (1214,2.472564220428467) (457,2.4350225925445557) (608,2.4319756031036377) (1265,2.427475929260254) (1200,2.42708158493042) (296,2.3919639587402344) (377,2.390242576599121) (2396,2.373138427734375) (1610,2.347292423248291)
