userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
81303: (480,2.7587850093841553) (2571,2.704293727874756) (260,2.6914567947387695) (589,2.681854248046875) (1196,2.6773288249969482) (2858,2.655289888381958) (2916,2.645723342895508) (1580,2.6338887214660645) (1270,2.5539801120758057) (2762,2.5181007385253906) (1197,2.4813919067382812) (2716,2.4765515327453613) (3578,2.451266050338745) (593,2.4204559326171875) (1265,2.4096245765686035) (1240,2.4058146476745605) (1097,2.383277416229248) (457,2.3805959224700928) (377,2.353505849838257) (2396,2.3477606773376465)
83335: (480,2.1800103187561035) (2571,2.130161762237549) (260,2.118500232696533) (589,2.1133310794830322) (2916,2.095180034637451) (1210,2.0924949645996094) (2628,2.090064525604248) (1270,2.0108535289764404) (110,2.0086684226989746) (2028,2.0051321983337402) (2762,1.983464241027832) (2716,1.9540753364562988) (1197,1.9534928798675537) (3578,1.9351235628128052) (780,1.91468346118927) (593,1.8976634740829468)* (1240,1.8951572179794312) (1,1.8938162326812744) (1198,1.8842374086380005) (457,1.879140853881836)
83691: (480,2.6483747959136963)* (2028,2.5899815559387207)* (1265,2.5520458221435547)* (1240,2.490978240966797)* (541,2.4653854370117188)* (2716,2.4462063312530518)* (2628,2.4453940391540527)* (1259,2.4106597900390625)* (1136,2.308053970336914)* (2174,2.300889015197754)* (590,2.2333993911743164)* (1968,2.203939914703369)* (1213,2.1891751289367676)* (2355,2.1232669353485107) (3175,2.11026930809021) (32,2.0312211513519287)* (1923,2.0039703845977783) (111,1.9893794059753418)* (357,1.9450544118881226) (1090,1.8935691118240356)*
80623: (2858,2.9382472038269043) (1196,2.933462142944336) (260,2.8758180141448975) (608,2.826024055480957) (593,2.747303009033203) (1210,2.7212300300598145) (1270,2.7052879333496094) (1198,2.6898436546325684) (1197,2.6599936485290527) (1617,2.6416313648223877) (589,2.62245774269104) (858,2.6104907989501953)* (527,2.60768461227417) (296,2.6063880920410156) (1097,2.599599838256836) (318,2.575167179107666) (2028,2.5737812519073486) (480,2.5713298320770264) (2571,2.5688018798828125) (541,2.558126449584961)
79986: (2858,2.788985252380371) (2571,2.6253724098205566)* (593,2.584336519241333)* (608,2.565336227416992) (110,2.535752773284912)* (2396,2.4885354042053223) (2916,2.486478328704834)* (1265,2.4837212562561035) (296,2.456599235534668) (1,2.4051761627197266) (527,2.4028754234313965) (1617,2.387617826461792) (318,2.387601375579834) (858,2.365131378173828) (2997,2.357966899871826) (50,2.3101563453674316) (541,2.3095648288726807) (1259,2.2973437309265137) (2987,2.2872848510742188)* (1127,2.2728893756866455)
81522: (589,2.842400550842285)* (1270,2.7606453895568848)* (2628,2.736938238143921)* (2028,2.723440170288086) (2762,2.6927502155303955)* (1097,2.5980072021484375) (1,2.5618529319763184) (3578,2.5573689937591553) (457,2.5255112648010254) (1214,2.4795382022857666) (1127,2.463550329208374) (527,2.4596965312957764) (2997,2.4352645874023438) (377,2.433164119720459) (1610,2.426426410675049) (2987,2.412194013595581) (1200,2.4041390419006348) (1291,2.3881003856658936)* (858,2.3803188800811768) (2000,2.3582139015197754)*
85225: (2858,2.64725923538208) (260,2.600464105606079) (1210,2.474370002746582) (1198,2.420410394668579) (480,2.3684186935424805) (1617,2.3521034717559814)* (296,2.3453171253204346)* (527,2.330195903778076) (2762,2.3292765617370605)* (858,2.3249974250793457) (318,2.3075051307678223)* (541,2.2754106521606445)* (356,2.2239983081817627)* (1580,2.214688301086426) (50,2.2131142616271973)* (1,2.200458288192749) (2716,2.1978633403778076) (924,2.1764166355133057) (1394,2.174630880355835)* (2628,2.174184799194336)
82107: (2858,2.6830711364746094)* (1196,2.6736936569213867) (260,2.611339569091797)* (593,2.5151915550231934)* (1198,2.4559390544891357) (1210,2.45571231842041) (1270,2.451442241668701) (1197,2.414137363433838) (527,2.398190975189209) (296,2.381592273712158) (541,2.3700129985809326) (318,2.365787982940674) (1097,2.36502742767334) (589,2.346221923828125) (2028,2.3148245811462402)* (2762,2.301881790161133) (2571,2.288221836090088) (1394,2.287367820739746) (480,2.2829530239105225) (110,2.2712597846984863)
79585: (1230,1.818779468536377) (2858,1.8127319812774658) (1294,1.7976083755493164) (912,1.784024715423584) (1252,1.7758889198303223) (1617,1.7612582445144653) (858,1.743890643119812)* (1304,1.7374985218048096) (1193,1.730424404144287) (260,1.726356029510498) (541,1.7202696800231934) (908,1.7130672931671143) (1225,1.7099943161010742) (750,1.7084577083587646) (1394,1.6929821968078613) (904,1.6863272190093994) (111,1.681540608406067) (913,1.6790745258331299) (527,1.672919511795044) (923,1.6714227199554443)*
81259: (2858,2.720665454864502)* (260,2.641385316848755)* (527,2.443166732788086)* (318,2.4121570587158203)* (1097,2.3940279483795166)* (1265,2.3399534225463867) (1259,2.30881929397583)* (2028,2.308657646179199)* (2762,2.3064956665039062)* (1214,2.281917095184326)* (1294,2.2676825523376465) (1240,2.242295742034912)* (1307,2.2214608192443848) (356,2.1763105392456055)* (1,2.166429042816162)* (1079,2.1399478912353516)* (1219,2.135721206665039)* (2174,2.125840902328491) (1580,2.0793285369873047) (1208,2.077174663543701)*
85069: (2858,1.7754228115081787)* (260,1.701563835144043)* (1617,1.6893856525421143) (912,1.6581687927246094) (541,1.6469329595565796) (1304,1.623401403427124) (1252,1.621541976928711)* (1225,1.5986157655715942)* (2396,1.5983976125717163) (1270,1.5887315273284912) (1197,1.5729420185089111) (1210,1.569389820098877) (1094,1.5328233242034912) (919,1.5303987264633179)* (1259,1.5223135948181152) (969,1.5101879835128784) (50,1.5027828216552734) (1213,1.4934449195861816)* (1307,1.4932359457015991) (1219,1.4840774536132812)*
82296: (1196,2.406871795654297) (260,2.405710458755493) (480,2.3962948322296143) (2858,2.3909106254577637) (2571,2.357560634613037) (589,2.352705955505371) (1210,2.3518264293670654) (1580,2.2778310775756836) (2916,2.2754831314086914) (2628,2.274364948272705) (2028,2.2513415813446045) (110,2.2448723316192627) (1197,2.2200398445129395) (593,2.194693088531494) (1198,2.1709277629852295) (1265,2.153329610824585) (1097,2.1416287422180176) (1240,2.134840488433838) (608,2.1266393661499023) (2396,2.1225059032440186)
84000: (1617,2.4133858680725098)* (1210,2.4068710803985596) (1197,2.3697309494018555) (1097,2.3214173316955566) (589,2.293480634689331) (1265,2.2771401405334473)* (2028,2.264195203781128)* (2571,2.2332191467285156) (480,2.2265725135803223) (1221,2.2261085510253906)* (1259,2.2232227325439453) (34,2.2123184204101562) (1214,2.208909511566162) (912,2.2016663551330566)* (1240,2.187838315963745) (1225,2.1548008918762207)* (1,2.1204347610473633)* (1294,2.1148715019226074) (2791,2.098076581954956) (2716,2.0901079177856445)
85029: (2916,2.7711844444274902)* (2571,2.7669167518615723)* (2628,2.7626399993896484)* (1210,2.6595938205718994)* (780,2.5555074214935303)* (1197,2.4468982219696045)* (1,2.4197819232940674) (648,2.413864850997925)* (2355,2.4023585319519043) (1610,2.3968000411987305)* (2710,2.3527026176452637) (316,2.3471391201019287)* (1097,2.3350019454956055) (1917,2.288647413253784)* (1291,2.2770848274230957)* (588,2.271601438522339)* (2396,2.2676243782043457) (1923,2.262514114379883)* (1676,2.261908769607544)* (1377,2.255697011947632)
84718: (527,3.126121997833252)* (1097,3.1068267822265625) (480,3.05283784866333) (1394,2.958491325378418) (1214,2.9556150436401367)* (1259,2.949244499206543) (50,2.9487757682800293)* (924,2.948403835296631)* (34,2.930368423461914)* (1136,2.909421443939209) (919,2.8667867183685303) (2716,2.848045825958252)* (1580,2.837064266204834) (912,2.814011335372925) (1304,2.807647228240967)* (2791,2.7960615158081055)* (2628,2.772456645965576) (2987,2.7687439918518066) (2916,2.767678737640381)* (2797,2.730238914489746)*
80046: (2628,2.0535285472869873)* (589,1.9873639345169067)* (780,1.9192510843276978)* (2699,1.880187749862671) (377,1.8429052829742432)* (2710,1.8129762411117554) (648,1.801264762878418)* (2355,1.7883882522583008)* (1127,1.7823805809020996) (1610,1.772255539894104) (1197,1.7571141719818115) (1377,1.7421767711639404) (2706,1.7372870445251465) (2683,1.720228672027588)* (2617,1.7140774726867676) (1265,1.7075037956237793)* (736,1.684404730796814)* (1923,1.6824238300323486)* (1320,1.6757018566131592) (1097,1.6657509803771973)*
82977: (260,3.522660255432129) (1270,3.3402762413024902) (2762,3.294933319091797) (1197,3.2429559230804443) (2716,3.24074649810791) (356,3.1919238567352295)* (593,3.162989616394043)* (1265,3.1495447158813477) (1,3.1386022567749023) (1198,3.1385293006896973) (2396,3.0690131187438965)* (1127,3.066615581512451) (1610,3.029365062713623) (608,3.009129047393799) (2355,2.999180316925049) (1214,2.9753458499908447) (733,2.9467647075653076) (380,2.9335100650787354)* (2987,2.9278736114501953) (1200,2.9129996299743652)
80187: (1196,2.9300949573516846)* (260,2.8826398849487305)* (589,2.657414436340332) (2396,2.6275105476379395)* (480,2.6240811347961426) (2571,2.613497495651245) (1097,2.600862979888916)* (2028,2.59717059135437) (527,2.5822014808654785) (2762,2.5797393321990967)* (858,2.5736069679260254) (1265,2.571197748184204) (110,2.5622997283935547) (318,2.55352783203125)* (541,2.5202040672302246) (2997,2.5041675567626953) (1240,2.495833158493042)* (1214,2.477349281311035) (1580,2.452390432357788) (1259,2.4448089599609375)
84634: (260,2.814973831176758) (480,2.807257652282715) (2858,2.7929205894470215) (2571,2.7592217922210693) (589,2.7550745010375977) (1580,2.669833183288574) (2916,2.669581413269043) (1270,2.668388605117798)* (2028,2.6343069076538086) (110,2.6273860931396484) (2762,2.6059508323669434) (593,2.564645528793335) (2716,2.54099178314209)* (356,2.519304037094116)* (1097,2.5047402381896973)* (1240,2.499647378921509)* (3578,2.484806776046753) (1,2.4819908142089844) (608,2.481308698654175) (2396,2.478753089904785)
81201: (480,2.8934693336486816) (2571,2.8357696533203125)* (589,2.8162612915039062) (2858,2.793130397796631)* (1210,2.7906672954559326) (2916,2.7739949226379395) (2628,2.7707903385162354) (1580,2.762899160385132) (1270,2.688340902328491) (110,2.67911958694458) (2762,2.647592782974243) (1197,2.6137354373931885) (356,2.566545009613037) (1265,2.5373237133026123) (1240,2.531484842300415) (1,2.5251832008361816) (1097,2.5109543800354004) (457,2.5037238597869873) (2396,2.4730262756347656)* (377,2.4704456329345703)
80096: (2858,2.813981533050537) (1210,2.668060779571533)* (608,2.643839120864868)* (1270,2.6293206214904785)* (593,2.619967460632324)* (589,2.599353790283203) (1197,2.5776140689849854) (2571,2.5634686946868896) (2396,2.517317295074463) (110,2.4986047744750977)* (1265,2.4846200942993164) (1214,2.3949480056762695)* (2997,2.3932223320007324) (2916,2.3903675079345703)* (2628,2.3899829387664795) (541,2.3899295330047607) (2716,2.385483741760254)* (34,2.3141069412231445)* (457,2.307511568069458) (1394,2.269252300262451)*
82887: (1270,3.1491823196411133)* (1197,3.0572805404663086) (2716,3.0566301345825195) (593,2.98236083984375)* (1265,2.9703445434570312)* (1240,2.9664103984832764) (1097,2.9368834495544434)* (1127,2.8944754600524902) (2396,2.8922410011291504) (1214,2.8058671951293945) (733,2.7867166996002197)* (380,2.7762508392333984)* (1291,2.768507957458496)* (2987,2.7626657485961914) (1200,2.7472217082977295) (3175,2.738646984100342) (2699,2.737032175064087) (2000,2.733503818511963) (527,2.7133092880249023) (1527,2.6855530738830566)
83509: (1196,3.3132472038269043)* (2858,3.30098295211792) (260,3.2926862239837646) (1210,3.1887426376342773) (480,3.182833194732666) (589,3.157620429992676) (2571,3.1466376781463623) (1270,3.1126959323883057) (2028,3.044860601425171) (1197,3.040926456451416) (110,3.0238747596740723)* (1580,3.0095434188842773) (1198,3.0032477378845215)* (2628,2.988727331161499) (2916,2.9872772693634033) (1097,2.9469072818756104) (1265,2.9453868865966797) (2716,2.904695510864258) (296,2.903247356414795)* (1240,2.899132490158081)
83772: (1270,3.108027458190918)* (593,3.0566346645355225)* (608,3.0369296073913574)* (1580,2.960850954055786)* (1097,2.9468302726745605)* (1240,2.885126829147339)* (2716,2.874558448791504)* (457,2.777358055114746)* (34,2.6825239658355713)* (2791,2.6123225688934326)* (1387,2.6033806800842285)* (377,2.6017234325408936)* (1036,2.571180820465088)* (1136,2.5505242347717285) (3114,2.5288474559783936)* (1968,2.5273537635803223)* (1721,2.4933362007141113)* (2918,2.485971450805664)* (1221,2.483281373977661) (3418,2.4543867111206055)*
81101: (1196,2.0469164848327637) (260,2.0431079864501953) (2858,2.035172462463379) (480,2.0238940715789795) (2571,1.9937372207641602) (589,1.992395281791687)* (1270,1.9364113807678223) (1580,1.922856330871582) (2916,1.9188215732574463) (2028,1.909846305847168) (110,1.9025260210037231)* (2762,1.88946533203125) (1197,1.8881062269210815) (593,1.8712400197982788) (1198,1.8492220640182495) (2716,1.8364272117614746) (1265,1.829993724822998) (356,1.8248411417007446) (1097,1.8229678869247437) (608,1.819532036781311)
82642: (480,2.9408183097839355) (2571,2.8794784545898438) (260,2.8589324951171875) (589,2.854346513748169) (1196,2.8407700061798096) (2916,2.824167490005493) (2628,2.8207945823669434) (1580,2.808168649673462) (110,2.7121264934539795)* (1270,2.7116754055023193) (2716,2.635887622833252)* (1197,2.6336774826049805) (780,2.5668039321899414) (593,2.564497709274292) (1265,2.5567877292633057) (1240,2.5559282302856445) (1,2.552802562713623) (1198,2.5445005893707275) (457,2.5324249267578125) (1097,2.5278983116149902)
80812: (608,2.8016557693481445) (1198,2.644869804382324)* (1197,2.608452081680298) (858,2.5937247276306152)* (527,2.5692739486694336)* (589,2.5433034896850586) (318,2.538848400115967)* (2762,2.4901723861694336)* (480,2.4839367866516113) (2571,2.4806532859802246) (2997,2.4757795333862305) (110,2.458423376083374) (1214,2.432645559310913)* (1259,2.4326095581054688)* (50,2.421827554702759) (1193,2.4200971126556396) (1240,2.417778968811035)* (34,2.4150843620300293)* (356,2.3638882637023926) (912,2.359875202178955)*
84517: (2858,2.3294010162353516)* (1196,2.3221962451934814) (593,2.1831045150756836) (1210,2.1419153213500977) (1198,2.133151054382324)* (1197,2.102200508117676)* (858,2.089294672012329) (527,2.0753231048583984) (296,2.069819927215576)* (1097,2.0566728115081787) (589,2.0548882484436035) (318,2.0509700775146484) (2028,2.023134708404541) (1265,2.022768497467041) (2762,2.0101943016052246)* (480,2.0049705505371094) (2997,2.0038669109344482) (110,1.9878238439559937) (1394,1.9724637269973755) (924,1.9648337364196777)
80773: (480,3.521484136581421)* (1210,3.5105292797088623)* (589,3.4840385913848877)* (2571,3.476834297180176) (1270,3.4181337356567383)* (1197,3.3372929096221924)* (2762,3.3187901973724365) (1097,3.2289719581604004)* (2716,3.2058119773864746) (356,3.196404457092285)* (1240,3.1872684955596924)* (1,3.1508824825286865)* (457,3.0938241481781006)* (1214,3.0811245441436768)* (2997,3.0411548614501953) (858,3.0046768188476562) (1200,2.969731330871582)* (780,2.9657115936279297)* (1610,2.95477294921875)* (1291,2.9305710792541504)*
81503: (260,3.035202980041504)* (2571,3.0103445053100586)* (2858,2.9955830574035645) (1210,2.983924388885498)* (2916,2.9335083961486816) (2628,2.92946195602417) (1270,2.878676414489746) (2028,2.852931022644043) (110,2.8510305881500244)* (2762,2.8231868743896484) (2716,2.767029285430908) (356,2.7325477600097656) (3578,2.718881845474243) (1198,2.7188165187835693)* (1240,2.7038984298706055)* (457,2.6623034477233887) (2396,2.653158187866211) (608,2.6301486492156982) (1127,2.6165771484375) (377,2.6106531620025635)*
82576: (260,1.9439268112182617)* (593,1.8936920166015625) (1198,1.8434937000274658) (1270,1.8235245943069458) (1210,1.8153966665267944) (541,1.8126282691955566) (296,1.7903344631195068) (1097,1.7685272693634033) (1394,1.7589162588119507) (924,1.7460744380950928) (1221,1.7393467426300049) (1265,1.7275978326797485) (1136,1.7245137691497803) (1304,1.7231594324111938) (589,1.7166767120361328)* (1259,1.707485556602478) (2028,1.7034225463867188)* (34,1.7003495693206787) (1225,1.6992716789245605) (2762,1.698533058166504)*
80424: (1617,2.5943026542663574)* (1270,2.510857343673706) (2396,2.4968411922454834)* (1210,2.4951353073120117) (1197,2.477914571762085)* (296,2.4686365127563477)* (1394,2.4515347480773926)* (1097,2.4344735145568848) (1221,2.428535223007202)* (1230,2.4071855545043945)* (34,2.3535618782043457)* (589,2.343379497528076)* (750,2.3408870697021484)* (1214,2.3177685737609863)* (1307,2.2912116050720215) (1094,2.2648158073425293)* (480,2.249289035797119) (923,2.202047824859619)* (969,2.2018003463745117) (3471,2.1924028396606445)
85007: (260,2.5217361450195312) (480,2.5132498741149902) (2858,2.5083723068237305) (2571,2.4742133617401123) (589,2.4678072929382324) (1580,2.388033390045166) (2916,2.385030508041382) (2028,2.3620049953460693) (110,2.3535003662109375) (1197,2.326869487762451) (593,2.2997312545776367) (1198,2.275763750076294) (2716,2.2731571197509766) (1265,2.25726318359375) (356,2.2554209232330322) (608,2.229606866836548) (2396,2.227118968963623) (3578,2.2243170738220215) (1,2.2207136154174805) (296,2.1950721740722656)
84870: (260,3.586909770965576)* (2858,3.5582683086395264) (1210,3.50740385055542)* (1270,3.3976988792419434)* (2028,3.3536159992218018) (110,3.3450686931610107)* (2762,3.3190016746520996) (2716,3.234476089477539) (1198,3.2316176891326904)* (1265,3.207948684692383)* (1097,3.191270351409912)* (608,3.1637942790985107) (3578,3.161210775375366) (296,3.1147141456604004) (1127,3.046276092529297) (527,3.0030312538146973) (318,2.9918277263641357) (2997,2.976724147796631) (1617,2.934281349182129) (50,2.9171557426452637)
84999: (480,2.023303270339966) (260,2.0007729530334473) (1196,1.9946928024291992) (2571,1.987147331237793) (2858,1.9819022417068481) (589,1.9754282236099243) (1210,1.9647504091262817) (2916,1.9297574758529663) (1580,1.9283912181854248) (1270,1.89613676071167) (2762,1.8640263080596924) (1197,1.846512794494629) (2716,1.8231836557388306) (593,1.812820315361023)* (356,1.803582787513733) (3578,1.7980026006698608) (1198,1.7942465543746948) (1265,1.791925072669983) (1240,1.7817370891571045) (1097,1.7764461040496826)
79823: (2571,2.480860710144043) (2858,2.4369068145751953) (110,2.3440372943878174) (2028,2.339235305786133) (2762,2.3168303966522217) (3578,2.249821901321411) (593,2.2262682914733887) (1240,2.217419385910034)* (1,2.212754249572754) (457,2.192894220352173) (377,2.1720376014709473) (1127,2.165015459060669) (1610,2.1385421752929688) (1573,2.134404420852661) (296,2.120241641998291) (648,2.11991548538208) (608,2.115365982055664) (733,2.090261936187744) (3175,2.0400447845458984) (318,2.020986557006836)
84166: (480,2.157965660095215) (2916,2.099984645843506) (2571,2.093860626220703)* (2628,2.0881848335266113) (1580,2.0724332332611084) (589,2.062213897705078) (260,2.0267434120178223) (1210,2.026289939880371) (1196,1.9992774724960327) (2028,1.935680866241455) (1270,1.9279699325561523)* (3578,1.9162744283676147)* (380,1.8875930309295654) (1197,1.8661489486694336)* (356,1.8661288022994995) (2699,1.8610833883285522) (1,1.839634656906128)* (648,1.830572247505188) (2355,1.8192129135131836) (1610,1.8189480304718018)
79780: (1196,2.8850574493408203) (260,2.8606457710266113) (1210,2.7595412731170654) (480,2.7294533252716064) (589,2.7187581062316895) (1270,2.7024312019348145) (2571,2.7004504203796387) (593,2.6596837043762207) (608,2.644383430480957) (1197,2.6417057514190674) (2028,2.6282970905303955) (1198,2.620004653930664) (110,2.6058998107910156) (2762,2.603957176208496) (1580,2.5724570751190186) (2396,2.5644941329956055) (1097,2.5626792907714844) (1265,2.5551669597625732) (2628,2.549175500869751) (2916,2.5473341941833496)
83184: (260,3.297637939453125) (608,3.1975088119506836)* (1210,3.133725881576538) (1270,3.1040163040161133)* (1197,3.0487537384033203) (589,3.0369136333465576)* (1617,2.985304355621338)* (2571,2.98480486869812) (1097,2.9742119312286377) (296,2.973301649093628) (2028,2.9706709384918213) (2762,2.9487786293029785) (110,2.9273996353149414) (541,2.88710880279541) (1214,2.8285694122314453) (356,2.8133769035339355)* (50,2.806608200073242)* (1580,2.79486346244812) (1,2.7827773094177246) (34,2.775621175765991)
81613: (2858,2.559948205947876) (1196,2.554482936859131) (260,2.513810634613037) (608,2.4253458976745605) (1210,2.3945226669311523) (1270,2.368917465209961) (1198,2.3365769386291504) (589,2.330000877380371) (1197,2.3265984058380127) (480,2.3012185096740723) (2396,2.29502010345459) (2028,2.2777938842773438) (1097,2.2676329612731934) (296,2.2670791149139404) (1617,2.265103340148926)* (1265,2.246584177017212) (541,2.186676502227783) (1240,2.181317090988159) (1214,2.156492233276367) (50,2.138819694519043)
79365: (480,3.30961012840271) (260,3.2771944999694824)* (2571,3.248239517211914) (1580,3.1541948318481445)* (1270,3.1070549488067627) (2762,3.048013210296631) (2716,2.9845123291015625) (593,2.966264486312866) (356,2.950338840484619) (1265,2.9321367740631104) (1240,2.9180407524108887)* (457,2.8724050521850586) (2396,2.872023105621338) (608,2.8480782508850098) (1127,2.819183349609375) (1610,2.7821011543273926) (1214,2.7813239097595215) (648,2.7401680946350098)* (1573,2.7310752868652344) (318,2.7081716060638428)
79690: (2858,2.744257926940918) (2916,2.6521878242492676)* (1580,2.649653673171997)* (2628,2.6489970684051514)* (2028,2.598738193511963) (110,2.5948503017425537) (593,2.5166983604431152) (2716,2.5136220455169678) (356,2.4869048595428467) (1265,2.4807705879211426) (3578,2.461998462677002) (1,2.4512171745300293)* (2396,2.434068441390991) (608,2.4267218112945557) (457,2.4200046062469482) (296,2.3978652954101562) (1214,2.3593907356262207) (377,2.3568990230560303) (1610,2.338960647583008) (527,2.307468891143799)
